category,city,name,site_lat,site_lng,site_name,start_time,end_time
农林牧渔,广州市,2018第十届广州国际园林机械与园艺工具展,23.10633391,113.3784028,广州国际采购中心,2018/3/21,2018/3/23
农林牧渔,广州市,2018第十届广州国际绿化苗木展览会,23.10633391,113.3784028,广州国际采购中心,2018/3/21,2018/3/23
建材五金,上海市,2018第16届中国上海国际保温防水材料与节能技术展览会,31.21315614,121.5727953,上海新国际博览中心,2018/11/19,2018/11/21
文化教育,上海市,2018上海国际亲子博览会,31.23088936,121.4593154,上海展览中心,2018/3/29,2018/4/1
机械工业,宁波市,2018宁波国际机器人智能加工及工业自动化展览会,29.87533863,121.6209057,宁波国际会展中心,2018/3/15,2018/3/18
文化教育,重庆市,2018重庆教育博览会暨教育装备智慧创新幼教教育加盟展,29.72482313,106.548697,重庆国际博览中心,2018/3/29,2018/3/31
消费电子,广州市,2018亚洲VR&AR博览会暨高峰论坛,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/4/3,2018/4/5
文化教育,上海市,2018上海国际教育信息化展及智能教育高峰论坛,31.18839541,121.4965025,上海世博展览馆,2018/4/19,2018/4/21
美容美发,成都市,2018第39届成都美博会,30.56346114,104.0817295,成都世纪城新国际会展中心,2018/4/19,2018/4/21
建材五金,沈阳市,2018年第20届东北国际门窗幕墙玻璃及加工设备展览会,41.75681957,123.4449643,沈阳新世界博览馆,2018/3/29,2018/3/31
美容美发,上海市,2018第25届上海国际美容美发化妆品博览会春季,31.1737722,121.4346345,上海光大会展中心,2018/3/29,2018/3/31
电子电力,香港,2018年香港春季电子产品展览会品牌荟萃廊国际资讯科技博览会,22.2869558,114.1845989,香港会议展览中心,2018/4/13,2018/4/16
建材五金,西宁市,2018中国青海国际绿色建筑产业博览会,36.55060567,101.7090939,青海国际会展中心,2018/4/16,2018/4/18
贸易进出口,武汉市,首届中国武汉进出口消费精品博览会暨台湾精品周,30.58559884,114.2802309,武汉国际会展中心,2018/1/2,2018/1/9
食品饮料,沈阳市,2018第十六届沈阳糖酒食品交易会,41.77825298,123.4401666,辽宁工业展览馆,2018/4/26,2018/4/28
纺织纺机,上海市,2018中国上海国际数码印花工业展览会,31.21315614,121.5727953,上海新国际博览中心,2018/4/19,2018/4/21
服装配饰,上海市,2018上海国际职业装博览会,31.18839541,121.4965025,上海世博展览馆,2018/4/19,2018/4/21
购物年货,北京市,2018马甸大型新年年货商品购物节,39.97982895,116.3884021,中国国际科技会展中心,2018/1/5,2018/2/10
奢侈品,广州市,2018广州国际珠宝首饰玉石交易会广州国际艺术品收藏品工艺品古典红木精品博览会广州国际陶瓷艺术展览会广州国际茶收藏紫砂工艺与香文化展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/1/5,2018/1/8
环保水处理,廊坊市,2018京津冀海绵城市与地下综合管廊建设展览会,39.51861063,116.7036022,河北廊坊国际会展中心,2018/4/10,2018/4/12
贸易进出口,上海市,2018上海国际零售业设计与设备展,31.21315614,121.5727953,上海新国际博览中心,2018/4/26,2018/4/28
酒店用品,上海市,2018上海国际室内环境空气净化及新风系统展览会,31.21315614,121.5727953,上海新国际博览中心,2018/4/26,2018/4/28
钢铁冶金,宁波市,2018第九届宁波国际铸造锻造及压铸工业展览会,29.88525897,121.579006,宁波国际展览中心,2018/4/26,2018/4/28
文化教育,长沙市,2018湖南教育装备展览会,28.21018409,112.9961787,湖南省展览馆,2018/4/26,2018/4/27
环保水处理,济南市,2018第20届山东国际给排水水处理及管泵阀展览会,36.69231833,117.1302235,济南国际会展中心,2018/4/26,2018/4/28
创业加盟,上海市,2018第二十八届上海国际连锁加盟展览会,31.21315614,121.5727953,上海新国际博览中心,2018/4/26,2018/4/28
广告媒体,呼和浩特市,2018年内蒙古第二十六届国际广告四新与传媒博览会暨LED及城市景观照明技术博览会,40.83103448,111.754918,内蒙古国际会展中心,2018/4/26,2018/4/28
暖通制冷,济南市,2018第二十届山东国际供热供暖通风空调及舒适家居系统展览会,36.69231833,117.1302235,济南国际会展中心,2018/4/26,2018/4/28
机械工业,上海市,2018第十九届上海国际清洁技术与设备博览会,31.21315614,121.5727953,上海新国际博览中心,2018/4/26,2018/4/28
消费电子,上海市,2018第15届中国国际自助服务产品及自动售货系统展,31.21315614,121.5727953,上海新国际博览中心,2018/4/26,2018/4/28
孕婴童,重庆市,2018中国重庆孕婴童用品展览会,29.72482313,106.548697,重庆国际博览中心,2018/4/27,2018/4/29
安全防护,南京市,2018第十七届南京安防展,32.00017759,118.7241743,南京国际博览中心,2018/4/26,2018/4/28
奢侈品,上海市,2018中国上海国际游艇展,31.21315614,121.5727953,上海新国际博览中心,2018/4/26,2018/4/29
信息通信,北京市,2018北京国际大数据产业博览会,39.96787965,116.4497403,中国国际展览中心,2018/4/27,2018/4/29
机械工业,上海市,2018上海国际地坪维护保养展览会,31.21315614,121.5727953,上海新国际博览中心,2018/4/26,2018/4/28
建材五金,上海市,2018上海第二十六届中国国际建筑装饰展览会暨2018上海国际酒店及商业空间工程与设计展览会,31.21315614,121.5727953,上海新国际博览中心,2018/4/26,2018/4/29
仪器仪表,北京市,2018中国北京国际智慧城市技术与应用产品展览会,39.96787965,116.4497403,中国国际展览中心,2018/4/27,2018/4/29
安全防护,北京市,2018中国北京国际物业展览会,39.96787965,116.4497403,中国国际展览中心,2018/4/27,2018/4/29
文化艺术,义乌市,2018第十三届中国义乌文化产品交易博览会,29.31803398,120.1198666,义乌国际博览中心,2018/4/27,2018/4/30
信息通信,北京市,2018亚洲北京国际物联网展览会,39.96787965,116.4497403,中国国际展览中心,2018/4/27,2018/4/29
美容美发,武汉市,2018中国武汉国际美容美发美体化妆用品博览会,30.58559884,114.2802309,武汉国际会展中心,2018/4/26,2018/4/28
房产家居,上海市,2018上海国际物业管理产业博览会暨2018中国上海国际物业管理高峰论坛,31.21315614,121.5727953,上海新国际博览中心,2018/4/26,2018/4/28
汽摩配件,北京市,2018第十五届北京国际汽车展览会,39.96787965,116.4497403,中国国际展览中心,2018/4/27,2018/4/29
礼品玩具,香港,2018年香港礼品及赠品展,22.2869558,114.1845989,香港会议展览中心,2018/4/27,2018/4/30
信息通信,北京市,2018亚洲北京国际软件及系统管理展览会,39.96787965,116.4497403,中国国际展览中心,2018/4/27,2018/4/29
农林牧渔,长沙市,2018湖南春季渔具展览会,28.11362013,113.0207805,长沙红星国际会展中心,2018/4/27,2018/4/29
能源矿产,太原市,第十七届2018太原煤炭工业技术装备展览会,37.86656599,112.5154959,山西省展览馆,2018/4/22,2018/4/24
仪器仪表,北京市,2018第十六届中国国际科学仪器及实验室装备展览会北京站,40.00504938,116.3965327,北京国家会议中心,2018/4/21,2018/4/23
环保水处理,合肥市,2018中国合肥国际水务设备与技术博览会,31.78596041,117.2296822,安徽国际会展中心,2018/4/20,2018/4/22
能源矿产,上海市,2018中国国际低碳科技成果交易博览会,31.18839541,121.4965025,上海世博展览馆,2018/4/22,2018/4/26
礼品玩具,西安市,2018中国西安国际小商品暨日用品博览会,34.19849834,108.8933614,西安绿地笔克国际会展中心,2018/4/21,2018/4/23
房产家居,北京市,2018中国北京国际智能家居智能硬件展览会,39.96787965,116.4497403,中国国际展览中心,2018/4/27,2018/4/29
食品饮料,郑州市,2018第十四届中国郑州食品包装及加工设备展览会,34.77795862,113.7372866,郑州国际会展中心,2018/4/23,2018/4/25
动漫游戏,沈阳市,2018沈阳国际游乐产业博览会,41.8489132,123.4153763,沈阳皇姑体育中心,2018/4/21,2018/4/23
建材五金,西安市,第十五届中国西安国际建筑节能及新型建材博览会,34.20211625,108.957183,西安曲江国际会展中心,2018/4/20,2018/4/22
医疗保健,上海市,2018第四届国际酵素产业博览会,31.1737722,121.4346345,上海光大会展中心,2018/4/24,2018/4/26
贸易进出口,广州市,第123届中国进出口商品交易会第二期,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/4/23,2018/4/27
食品饮料,南宁市,2018广西国际糖业技术设备交流展示会,22.81439522,108.3857217,广西南宁国际会展中心,2018/4/24,2018/4/26
印刷包装,沧州市,2018第十一届中国东光纸箱机械国际博览会,37.8874516,116.6778323,东光包装机械会展中心,2018/4/24,2018/4/26
汽摩配件,东莞市,第十八届广东国际汽车展示交易会春季,22.9062441,113.6672813,广东现代国际展览中心,2018/4/28,2018/5/1
食品饮料,郑州市,2018第二十一届郑州国际糖酒食品交易会,34.77795862,113.7372866,郑州国际会展中心,2018/4/23,2018/4/25
仪器仪表,沈阳市,2018第二十一届中国东北国际智能制造及工业自动化展览会,41.66836964,123.3796191,沈阳国际展览中心,2018/4/24,2018/4/26
化工橡塑,上海市,2018表面活性剂和洗涤剂展览会,31.22853327,121.3988929,上海跨国采购会展中心,2018/4/24,2018/4/26
化工橡塑,上海市,2018第三十二届中国国际塑料橡胶工业展览会,31.19545539,121.3087136,国家会展中心上海,2018/4/24,2018/4/27
