category,city,end_time,name,site_lat,site_lng,site_name,start_time
农林牧渔,广州市,2018-03-23,2018第十届广州国际园林机械与园艺工具展,23.1063339053,113.378402773,广州国际采购中心,2018-03-21
农林牧渔,广州市,2018-03-23,2018第十届广州国际绿化苗木展览会,23.1063339053,113.378402773,广州国际采购中心,2018-03-21
建材五金,上海市,2018-11-21,2018第16届中国上海国际保温防水材料与节能技术展览会,31.2131561422,121.572795285,上海新国际博览中心,2018-11-19
文化教育,上海市,2018-04-01,2018上海国际亲子博览会,31.2308893627,121.459315403,上海展览中心,2018-03-29
机械工业,宁波市,2018-03-18,2018宁波国际机器人智能加工及工业自动化展览会,29.8753386335,121.620905706,宁波国际会展中心,2018-03-15
文化教育,重庆市,2018-03-31,2018重庆教育博览会暨教育装备智慧创新幼教教育加盟展,29.7248231346,106.548697024,重庆国际博览中心,2018-03-29
消费电子,广州市,2018-04-05,2018亚洲VR&AR博览会暨高峰论坛,23.1499658876,113.263495803,中国进出口商品交易会展馆琶洲馆,2018-04-03
文化教育,上海市,2018-04-21,2018上海国际教育信息化展及智能教育高峰论坛,31.1883954089,121.496502454,上海世博展览馆,2018-04-19
美容美发,成都市,2018-04-21,2018第39届成都美博会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-19
建材五金,沈阳市,2018-03-31,2018年第20届东北国际门窗幕墙玻璃及加工设备展览会,41.7568195667,123.444964295,沈阳新世界博览馆,2018-03-29
美容美发,上海市,2018-03-31,2018第25届上海国际美容美发化妆品博览会春季,31.1737721999,121.434634495,上海光大会展中心,2018-03-29
电子电力,香港,2018-04-16,2018年香港春季电子产品展览会品牌荟萃廊国际资讯科技博览会,22.2869558041,114.184598867,香港会议展览中心,2018-04-13
建材五金,西宁市,2018-04-18,2018中国青海国际绿色建筑产业博览会,36.5506056689,101.709093918,青海国际会展中心,2018-04-16
贸易进出口,武汉市,2018-01-09,首届中国武汉进出口消费精品博览会暨台湾精品周,30.585598843,114.280230907,武汉国际会展中心,2018-01-02
食品饮料,沈阳市,2018-04-28,2018第十六届沈阳糖酒食品交易会,41.7782529775,123.440166592,辽宁工业展览馆,2018-04-26
纺织纺机,上海市,2018-04-21,2018中国上海国际数码印花工业展览会,31.2131561422,121.572795285,上海新国际博览中心,2018-04-19
服装配饰,上海市,2018-04-21,2018上海国际职业装博览会,31.1883954089,121.496502454,上海世博展览馆,2018-04-19
